Time(s)	kb1X	kb1Y	kb2X	kb2Y	kb3X	kb3Y	kb4X	kb4Y	kb5X	kb5Y	kb6X	kb6Y	kb7X	kb7Y	kb8X	kb8Y	kb9X	kb9Y	kb10X	kb10Y	kb11X	kb11Y	kb12X	kb12Y	kb13X	kb13Y	kb14X	kb14Y	kb15X	kb15Y	kb16X	kb16Y	kb17X	kb17Y	kb18X	kb18Y	kb19X	kb19Y	kb20X	kb20Y	kb21X	kb21Y	kb22X	kb22Y	kb23X	kb23Y	kb24X	kb24Y	kb25X	kb25Y	
1	0.60726	1	0.557057	0.949794	0.50687	0.899576	0.456688	0.849401	0.406418	0.799173	0.556989	1.0502	0.506799	1	0.456637	0.949778	0.406409	0.899581	0.356178	0.849379	0.506872	1.10041	0.456628	1.05021	0.406505	0.999994	0.356265	0.949805	0.305998	0.899586	0.456576	1.15061	0.406418	1.10042	0.356189	1.05021	0.306067	0.999991	0.255749	0.949795	0.406414	1.2008	0.356221	1.15062	0.306018	1.10041	0.255789	1.05022	0.205636	1.00001	
2	0.614068	1.00002	0.563859	0.949787	0.513691	0.899525	0.463533	0.849446	0.413187	0.799143	0.563717	1.05018	0.513537	1.00001	0.463421	0.94972	0.413167	0.899551	0.362901	0.849353	0.513695	1.10043	0.463402	1.05025	0.413366	0.999975	0.363089	0.949838	0.312748	0.89957	0.463301	1.15062	0.413185	1.10044	0.36293	1.05022	0.312897	0.999962	0.262452	0.949793	0.413177	1.20075	0.36299	1.15065	0.312789	1.10043	0.262535	1.05026	0.212432	1.00003	
3	0.619418	1.001	0.569237	0.950743	0.519098	0.900429	0.468941	0.850476	0.418538	0.800064	0.569027	1.0511	0.518856	1.00095	0.468798	0.950596	0.418514	0.900454	0.368208	0.850269	0.51909	1.10142	0.468751	1.05122	0.418812	1.00091	0.368488	0.950824	0.318078	0.900503	0.468604	1.15156	0.41853	1.10141	0.368252	1.05117	0.318314	1.00088	0.267734	0.950733	0.418529	1.20163	0.368334	1.15163	0.318136	1.1014	0.267852	1.05126	0.217798	1.00101	
4	0.622034	1.00326	0.574224	0.952966	0.524115	0.902633	0.47395	0.852757	0.423304	0.802651	0.574028	1.05311	0.523933	1.00278	0.473929	0.952414	0.423619	0.902266	0.373197	0.852289	0.524174	1.10347	0.473861	1.05307	0.424011	1.00276	0.373646	0.952682	0.323093	0.902529	0.473591	1.15359	0.423636	1.10325	0.373334	1.05299	0.323488	1.00271	0.272707	0.952736	0.422818	1.20329	0.373414	1.15354	0.323226	1.10329	0.272915	1.05315	0.222793	1.0032	
5	0.62691	1.00548	0.579499	0.954205	0.529415	0.903844	0.479256	0.854056	0.428401	0.80439	0.579277	1.05412	0.529224	1.00361	0.47927	0.95321	0.428934	0.903066	0.378438	0.853317	0.529511	1.10452	0.479185	1.05392	0.429426	1.00359	0.37902	0.953531	0.32836	0.90356	0.478831	1.15463	0.428956	1.10408	0.378629	1.05382	0.328875	1.00351	0.277929	0.953755	0.428068	1.20446	0.378722	1.15446	0.32854	1.10419	0.278203	1.05405	0.228069	1.00441	
6	0.632334	1.00545	0.58481	0.953122	0.534734	0.902704	0.484622	0.853031	0.433754	0.803808	0.584459	1.05282	0.534425	1.00227	0.484501	0.951796	0.43414	0.901663	0.383637	0.852071	0.534804	1.10326	0.484431	1.0526	0.434746	1.0022	0.384308	0.952181	0.333596	0.902338	0.48403	1.15339	0.434192	1.10275	0.383841	1.05249	0.334157	1.00211	0.283117	0.952538	0.433318	1.20329	0.383947	1.15312	0.333763	1.10283	0.283407	1.05272	0.233367	1.0033	
7	0.635121	1.00472	0.587016	0.95224	0.536973	0.901792	0.486623	0.852206	0.436314	0.802924	0.58693	1.05148	0.537244	1.00125	0.487335	0.950741	0.436959	0.900595	0.386401	0.85097	0.537578	1.10202	0.48727	1.0516	0.437596	1.00118	0.387161	0.951149	0.336418	0.901301	0.486762	1.15219	0.437002	1.10175	0.386673	1.0515	0.33697	1.00109	0.285907	0.951493	0.436085	1.20191	0.386788	1.15195	0.33661	1.10167	0.286249	1.05156	0.236189	1.00205	
8	0.641731	1.00309	0.593331	0.949713	0.543286	0.899209	0.492943	0.849577	0.442676	0.800615	0.592893	1.04836	0.543577	0.998944	0.493692	0.948372	0.443279	0.898199	0.392633	0.848447	0.543824	1.09927	0.493666	1.04937	0.444056	0.998872	0.393584	0.948844	0.342743	0.898943	0.492931	1.14951	0.443383	1.0995	0.393035	1.04927	0.343388	0.99875	0.292173	0.949113	0.442146	1.19891	0.393048	1.14937	0.342882	1.09912	0.292506	1.04904	0.242392	0.999272	
9	0.647807	1.00179	0.599164	0.947587	0.549119	0.897029	0.498796	0.847381	0.448538	0.798674	0.598413	1.04569	0.549415	0.99703	0.499556	0.94639	0.449108	0.896194	0.398384	0.846324	0.549605	1.09695	0.499567	1.04754	0.45002	0.996945	0.399516	0.946942	0.348575	0.896973	0.498629	1.14725	0.449269	1.09764	0.398899	1.04742	0.349311	0.996799	0.297949	0.947123	0.447756	1.19635	0.398836	1.14722	0.348678	1.09698	0.29829	1.04695	0.248133	0.996927	
10	0.65317	1.00259	0.604581	0.947654	0.554557	0.897027	0.504256	0.847419	0.45392	0.798874	0.603736	1.0452	0.554763	0.997276	0.504955	0.94656	0.454481	0.896347	0.403724	0.846358	0.555043	1.09685	0.504945	1.04788	0.455491	0.997206	0.404947	0.94724	0.353939	0.89716	0.50397	1.14717	0.454643	1.09795	0.404247	1.04774	0.354753	0.997025	0.303266	0.947283	0.453123	1.19595	0.404221	1.14726	0.354065	1.09704	0.303651	1.04705	0.253543	0.996797	
